[Ano],[Mês/Ano],[Campo],[Bacia],[Instalação],[Poço],[Estado],[Ambiente],[Produção de Óleo (m³)],[Produção de Gás Associado (Mm³)],[Produção de Gás Não Associado (Mm³)],[Produção de Água (m³)],[Injeção de Gás (Mm³)],[Produção de Condensado (m³)],[Injeção de Água para Recuperação Secundária (m³)],[Injeção de Água para Descarte (m³)],[Injeção de Gás Carbônico (Mm³)],[Injeção de Nitrogênio (Mm³)],[Injeção de Vapor de Água (t)],[Injeção de Polímeros (m³)],[Injeção de Outros Fluidos (m³)]
2023,set/2023,LAGOA SURUACA,Espírito Santo,Tanque isolado LS-14 (Lagoa Suruaca),7LS14ES,Espírito Santo,TERRA,344,15,0,786,0,,,,,,,,
2023,set/2023,LAGOA SURUACA,Espírito Santo,Tanque isolado LS-14 (Lagoa Suruaca),7LS19ES,Espírito Santo,TERRA,27,0,0,779,0,,,,,,,,
2023,ago/2023,BREJO GRANDE,Sergipe,Ponto de Coleta área do BRG-0035,4BRG32SE,Sergipe,TERRA,90,97,0,1341,0,,,,,,,,
2023,ago/2023,BREJO GRANDE,Sergipe,Brejo Grande,7BRG24SE,Sergipe,TERRA,445,478,0,422,0,,,,,,,,
2023,set/2023,BREJO GRANDE,Sergipe,Ponto de Coleta área do BRG-0035,4BRG32SE,Sergipe,TERRA,154,195,0,1086,0,,,,,,,,
2023,set/2023,BREJO GRANDE,Sergipe,Brejo Grande,7BRG24SE,Sergipe,TERRA,311,395,0,508,0,,,,,,,,
2023,set/2023,CANTO DO AMARO,Potiguar,Estação Coletora de Canto do Amaro H,7CAM619RN,Rio Grande do Norte,TERRA,2,0,0,64,0,,,,,,,,
2023,jul/2023,CANTO DO AMARO,Potiguar,Estação Coletora de Canto do Amaro E,7CAM224RN,Rio Grande do Norte,TERRA,2,0,0,85,0,,,,,,,,
2023,set/2023,CANTO DO AMARO,Potiguar,Estação Coletora Alto da Pedra B,7CAM1049RN,Rio Grande do Norte,TERRA,1,0,0,118,0,,,,,,,,
2023,set/2023,CANTO DO AMARO,Potiguar,Estação Coletora Alto da Pedra A,7AP59RN,Rio Grande do Norte,TERRA,2,0,0,176,0,,,,,,,,
2023,jul/2023,CANTO DO AMARO,Potiguar,Estação Coletora de Canto do Amaro F,7CAM877RN,Rio Grande do Norte,TERRA,1,0,0,127,0,,,,,,,,
2023,jul/2023,CANTO DO AMARO,Potiguar,Estação Coletora de Canto do Amaro B,7CAM1477DRN,Rio Grande do Norte,TERRA,1,0,0,10,0,,,,,,,,
2023,ago/2023,CANTO DO AMARO,Potiguar,Estação Coletora de Canto do Amaro B,7CAM1388DRN,Rio Grande do Norte,TERRA,1,0,0,2,0,,,,,,,,
2023,ago/2023,CANTO DO AMARO,Potiguar,Estação Coletora de Canto do Amaro B,7CAM1347DRN,Rio Grande do Norte,TERRA,1,0,0,36,0,,,,,,,,
2023,ago/2023,CANTO DO AMARO,Potiguar,Estação Coletora Cajazeira  C,7CJ29DRN,Rio Grande do Norte,TERRA,1,0,0,2,0,,,,,,,,
2023,jul/2023,CANTO DO AMARO,Potiguar,Estação Coletora de Canto do Amaro L,7CAM973RN,Rio Grande do Norte,TERRA,2,0,0,151,0,,,,,,,,
2023,jul/2023,CANTO DO AMARO,Potiguar,Estação Coletora de Canto do Amaro F,7CAM937RN,Rio Grande do Norte,TERRA,4,0,0,338,0,,,,,,,,
2023,jul/2023,CANTO DO AMARO,Potiguar,Estação Coletora de Canto do Amaro G,7CAM621RN,Rio Grande do Norte,TERRA,1,0,0,143,0,,,,,,,,
2023,jul/2023,CANTO DO AMARO,Potiguar,Estação Coletora de Canto do Amaro E,7CAM1185DRN,Rio Grande do Norte,TERRA,2,0,0,251,0,,,,,,,,
2023,jul/2023,CANTO DO AMARO,Potiguar,Estação Coletora Alto da Pedra B,7CAM1246RN,Rio Grande do Norte,TERRA,2,0,0,36,0,,,,,,,,
2023,jul/2023,CANTO DO AMARO,Potiguar,Estação Coletora de Canto do Amaro E,7CAM1296DRN,Rio Grande do Norte,TERRA,2,0,0,56,0,,,,,,,,
2023,set/2023,CANTO DO AMARO,Potiguar,Estação Coletora de Canto do Amaro J,4CAM310RN,Rio Grande do Norte,TERRA,1,0,0,120,0,,,,,,,,
